City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Havoysund,NO,2022-02-07 00:04:18,70.9963,24.6622,25.68,79,37,16.69
1,Vaini,TO,2022-02-07 00:08:33,-21.2,-175.2,77.16,94,75,14.97
2,Port Lincoln,AU,2022-02-07 00:08:34,-34.7333,135.8667,77.85,49,0,16.93
3,Hilo,US,2022-02-07 00:05:07,19.7297,-155.09,78.53,76,100,11.5
4,Saint-Philippe,RE,2022-02-07 00:08:34,-21.3585,55.7679,76.59,83,99,13.31
5,Rikitea,PF,2022-02-07 00:08:35,-23.1203,-134.9692,79.32,71,3,18.54
6,Cape Town,ZA,2022-02-07 00:07:38,-33.9258,18.4232,65.26,81,33,4.56
7,Busselton,AU,2022-02-07 00:08:35,-33.65,115.3333,61.09,61,70,18.79
8,Kahului,US,2022-02-07 00:08:35,20.8947,-156.47,82.42,59,20,26.46
9,Katsuura,JP,2022-02-07 00:08:36,35.1333,140.3,44.19,40,34,12.03
10,Carnarvon,AU,2022-02-07 00:08:36,-24.8667,113.6333,72.14,58,14,22.82
11,New Norfolk,AU,2022-02-07 00:03:53,-42.7826,147.0587,74.66,38,1,3.0
12,Naron,ES,2022-02-07 00:08:37,43.5167,-8.1528,51.03,85,70,3.78
13,Atuona,PF,2022-02-07 00:08:37,-9.8,-139.0333,78.76,76,20,18.41
14,Port Moresby,PG,2022-02-07 00:08:37,-9.4431,147.1797,83.05,67,100,5.75
15,Matagami,CA,2022-02-07 00:08:38,49.7502,-77.6328,10.51,85,100,4.61
16,Hermanus,ZA,2022-02-07 00:07:30,-34.4187,19.2345,64.9,95,21,3.29
17,Kruisfontein,ZA,2022-02-07 00:05:56,-34.0033,24.7314,69.89,64,83,2.35
18,Saskylakh,RU,2022-02-07 00:08:38,71.9167,114.0833,-23.35,100,97,2.95
19,Puerto Ayora,EC,2022-02-07 00:03:42,-0.7393,-90.3518,75.54,90,36,4.0
20,Grand Gaube,MU,2022-02-07 00:08:38,-20.0064,57.6608,77.38,83,90,1.99
21,Yellowknife,CA,2022-02-07 00:08:39,62.456,-114.3525,-1.68,84,75,3.44
22,Somerset West,ZA,2022-02-07 00:08:39,-34.084,18.8211,65.21,89,25,1.81
23,Komsomolskiy,UZ,2022-02-07 00:08:39,40.4272,71.7189,38.12,87,75,4.61
24,Naze,JP,2022-02-07 00:08:23,28.3667,129.4833,53.65,58,100,4.85
25,Sao Filipe,CV,2022-02-07 00:08:40,14.8961,-24.4956,72.81,76,1,5.17
26,Abu Samrah,SY,2022-02-07 00:08:40,35.3029,37.1841,47.59,94,100,2.48
27,Sangar,RU,2022-02-07 00:08:40,63.9242,127.4739,-37.48,97,95,2.62
28,Hobart,AU,2022-02-07 00:08:12,-42.8794,147.3294,75.02,50,20,1.99
29,La Paz,BO,2022-02-07 00:07:04,-16.5,-68.15,44.58,100,100,6.91
30,Kieta,PG,2022-02-07 00:05:07,-6.2167,155.6333,85.93,67,100,8.3
31,Saint Anthony,US,2022-02-07 00:08:41,45.0205,-93.218,14.2,67,100,4.0
32,Labuhan,ID,2022-02-07 00:08:41,-6.8844,112.2051,79.25,85,100,5.23
33,Inyonga,TZ,2022-02-07 00:08:42,-6.7167,32.0667,64.85,90,100,2.24
34,Palmer,US,2022-02-07 00:08:42,42.1584,-72.3287,24.35,70,100,2.66
35,Ushuaia,AR,2022-02-07 00:06:41,-54.8,-68.3,56.91,90,100,7.34
36,Avarua,CK,2022-02-07 00:08:42,-21.2078,-159.775,84.25,74,40,14.97
37,Ancud,CL,2022-02-07 00:08:43,-41.8697,-73.8203,66.22,82,8,4.18
38,Butaritari,KI,2022-02-07 00:08:43,3.0707,172.7902,82.36,75,51,15.37
39,Benjamin Aceval,PY,2022-02-07 00:08:43,-24.9667,-57.5667,72.75,57,0,2.26
40,Jian,CN,2022-02-07 00:08:44,27.1172,114.9793,40.28,94,100,10.58
41,Albany,US,2022-02-07 00:04:08,42.6001,-73.9662,21.45,75,62,1.01
42,Westport,US,2022-02-07 00:06:53,41.1415,-73.3579,29.05,77,0,5.01
43,Japura,ID,2022-02-07 00:08:44,-0.3167,102.35,72.54,98,98,2.44
44,Bambous Virieux,MU,2022-02-07 00:08:45,-20.3428,57.7575,77.22,83,92,9.8
45,Kindu,CD,2022-02-07 00:05:49,-2.95,25.95,70.92,89,100,0.6
46,Lakselv,NO,2022-02-07 00:04:54,70.0513,24.9718,22.82,74,83,26.46
47,Cherskiy,RU,2022-02-07 00:09:45,68.75,161.3,-29.81,100,23,0.76
48,Srednekolymsk,RU,2022-02-07 00:09:46,67.45,153.6833,-35.66,99,57,0.87
49,Tiznit,MA,2022-02-07 00:09:46,29.5833,-9.5,61.34,33,5,3.18
50,Samaipata,BO,2022-02-07 00:09:46,-18.15,-63.8667,53.11,91,100,3.98
51,Provideniya,RU,2022-02-07 00:09:47,64.3833,-173.3,3.31,66,0,6.71
52,Merauke,ID,2022-02-07 00:09:47,-8.4667,140.3333,83.48,76,100,5.88
53,Saint-Denis,FR,2022-02-07 00:09:47,48.9167,2.3333,48.76,81,75,5.01
54,Tasiilaq,GL,2022-02-07 00:09:48,65.6145,-37.6368,23.16,58,100,49.26
55,Flin Flon,CA,2022-02-07 00:09:48,54.7682,-101.865,2.84,94,100,9.78
56,Pevek,RU,2022-02-07 00:08:43,69.7008,170.3133,-23.33,98,21,0.81
57,Thompson,CA,2022-02-07 00:09:48,55.7435,-97.8558,-6.86,93,32,7.29
58,Hithadhoo,MV,2022-02-07 00:09:49,-0.6,73.0833,81.99,72,31,14.14
59,Georgetown,MY,2022-02-07 00:09:49,5.4112,100.3354,76.95,90,20,4.61
60,Mataura,NZ,2022-02-07 00:09:49,-46.1927,168.8643,60.48,40,6,1.07
61,Young,UY,2022-02-07 00:09:50,-32.6833,-57.6333,66.22,57,1,6.78
62,Clarksburg,US,2022-02-07 00:05:26,39.2807,-80.3445,36.28,84,1,2.24
63,Port Augusta,AU,2022-02-07 00:09:50,-32.5,137.7667,88.7,21,9,19.42
64,Ribeira Grande,PT,2022-02-07 00:09:51,38.5167,-28.7,61.36,84,11,12.62
65,Bethel,US,2022-02-07 00:09:48,41.3712,-73.414,27.0,72,0,4.61
66,Cidreira,BR,2022-02-07 00:07:04,-30.1811,-50.2056,71.47,72,6,10.98
67,Deputatskiy,RU,2022-02-07 00:09:51,69.3,139.9,-35.43,98,79,5.28
68,Dikson,RU,2022-02-07 00:09:51,73.5069,80.5464,-15.39,98,96,14.25
69,Olafsvik,IS,2022-02-07 00:09:52,64.8945,-23.7142,29.46,68,100,25.79
70,Moose Factory,CA,2022-02-07 00:05:20,51.2585,-80.6094,-4.4,95,100,8.16
71,Margahayu,ID,2022-02-07 00:09:52,-6.4264,105.8646,79.07,86,100,14.56
72,Clyde River,CA,2022-02-07 00:05:52,70.4692,-68.5914,-37.17,97,82,5.35
73,Los Llanos De Aridane,ES,2022-02-07 00:09:53,28.6585,-17.9182,62.35,70,75,20.0
74,Tuktoyaktuk,CA,2022-02-07 00:08:56,69.4541,-133.0374,-19.35,98,100,14.38
75,Bairiki,KI,2022-02-07 00:09:53,1.3292,172.9752,81.88,75,35,15.43
76,Tukrah,LY,2022-02-07 00:09:54,32.5341,20.5791,56.05,74,94,8.23
77,Khonsa,IN,2022-02-07 00:09:54,27.0167,95.5667,42.06,90,1,3.53
78,Pravia,ES,2022-02-07 00:09:54,43.4906,-6.1508,44.89,76,0,9.22
79,Ketchikan,US,2022-02-07 00:09:45,55.3422,-131.6461,46.38,93,100,16.11
80,Jamestown,US,2022-02-07 00:06:35,42.097,-79.2353,31.59,47,0,5.01
81,Lagoa,PT,2022-02-07 00:09:55,39.05,-27.9833,59.67,87,41,16.33
82,Ahipara,NZ,2022-02-07 00:09:55,-35.1667,173.1667,76.66,92,96,7.34
83,Saint George,US,2022-02-07 00:07:59,37.1041,-113.5841,61.27,18,0,5.01
84,Cabo San Lucas,MX,2022-02-07 00:09:55,22.8909,-109.9124,72.61,66,20,1.01
85,Port Alfred,ZA,2022-02-07 00:09:56,-33.5906,26.891,74.84,79,91,6.38
86,Homer,US,2022-02-07 00:09:23,59.6425,-151.5483,30.09,90,100,18.41
87,Praxedis Guerrero,MX,2022-02-07 00:10:56,31.3667,-106.0167,55.42,27,2,14.16
88,Bhag,PK,2022-02-07 00:10:57,29.0415,67.8239,61.65,28,4,3.8
89,Tiksi,RU,2022-02-07 00:10:57,71.6872,128.8694,-16.11,99,100,5.28
90,Nuevo Progreso,MX,2022-02-07 00:10:57,23.1667,-97.95,68.59,50,13,4.0
91,Castro,BR,2022-02-07 00:08:57,-24.7911,-50.0119,65.37,83,47,1.86
92,Vokhtoga,RU,2022-02-07 00:10:58,58.8147,41.0461,8.73,97,100,5.7
93,Nanortalik,GL,2022-02-07 00:10:58,60.1432,-45.2371,18.61,63,100,34.92
94,Hualmay,PE,2022-02-07 00:10:58,-11.0964,-77.6139,71.04,78,88,7.16
95,Manolas,GR,2022-02-07 00:10:59,38.05,21.35,56.28,93,40,0.0
96,Sao Felix Do Xingu,BR,2022-02-07 00:10:59,-6.6447,-51.995,73.54,93,91,1.03
97,Ponta Do Sol,PT,2022-02-07 00:10:59,32.6667,-17.1,63.23,65,11,10.27
98,Chokurdakh,RU,2022-02-07 00:10:05,70.6333,147.9167,-41.22,100,85,2.62
99,Aljezur,PT,2022-02-07 00:11:00,37.3191,-8.8033,52.03,69,2,8.57
100,Novooleksiyivka,UA,2022-02-07 00:11:00,46.2269,34.6428,36.27,85,100,13.51
101,Khokhlovo,RU,2022-02-07 00:11:00,59.1492,37.3998,11.95,97,95,7.94
102,Ende,ID,2022-02-07 00:11:01,-8.8432,121.6623,82.44,75,22,4.43
103,Riachao,BR,2022-02-07 00:11:01,-7.3619,-46.6172,75.24,83,68,4.25
104,Tura,IN,2022-02-07 00:11:01,25.5198,90.2201,51.13,79,0,3.11
105,Mehamn,NO,2022-02-07 00:11:02,71.0357,27.8492,16.5,86,32,13.67
106,Punta Cardon,VE,2022-02-07 00:11:02,11.6581,-70.215,78.24,77,4,21.54
107,Lompoc,US,2022-02-07 00:11:02,34.6391,-120.4579,76.57,60,0,9.22
108,Nikolskoye,RU,2022-02-07 00:11:03,59.7035,30.7861,35.71,93,100,11.05
109,Asosa,ET,2022-02-07 00:11:03,10.0667,34.5333,61.5,29,70,6.26
110,Mahebourg,MU,2022-02-07 00:11:03,-20.4081,57.7,77.25,84,88,10.18
111,Carmo Do Cajuru,BR,2022-02-07 00:10:58,-20.1842,-44.7711,67.01,98,100,3.51
112,Beloha,MG,2022-02-07 00:11:04,-25.1667,45.05,74.25,93,100,15.17
113,Azad Shahr,IR,2022-02-07 00:11:04,34.7909,48.5707,27.64,69,74,5.35
114,Isangel,VU,2022-02-07 00:11:05,-19.55,169.2667,81.01,88,100,15.26
115,Ust-Omchug,RU,2022-02-07 00:11:05,61.15,149.6333,-21.01,81,1,2.26
116,Kodiak,US,2022-02-07 00:11:05,57.79,-152.4072,36.91,44,100,11.5
117,Plettenberg Bay,ZA,2022-02-07 00:11:06,-34.0527,23.3716,72.16,56,26,5.75
118,Wadern,DE,2022-02-07 00:11:06,49.5333,6.8833,41.5,90,100,15.99
119,Kununurra,AU,2022-02-07 00:11:06,-15.7667,128.7333,76.98,94,75,5.75
120,Luderitz,NA,2022-02-07 00:11:07,-26.6481,15.1594,69.35,72,35,7.34
121,Pulandian,CN,2022-02-07 00:11:07,39.3953,121.9669,23.13,74,69,3.76
122,Constitucion,CL,2022-02-07 00:06:57,-35.3333,-72.4167,60.84,76,7,9.13
123,Kasongo-Lunda,CD,2022-02-07 00:11:07,-6.4667,16.8167,70.29,97,100,0.78
124,Port Hardy,CA,2022-02-07 00:11:08,50.6996,-127.4199,49.75,82,100,15.05
125,Dingle,PH,2022-02-07 00:11:08,10.9995,122.6711,78.17,81,90,11.21
126,Kaitangata,NZ,2022-02-07 00:11:09,-46.2817,169.8464,58.93,77,6,6.22
127,Ilabaya,PE,2022-02-07 00:11:09,-17.4208,-70.5133,67.01,71,78,3.51
128,Ukiah,US,2022-02-07 00:11:09,39.1502,-123.2078,73.65,27,0,3.44
129,Khatanga,RU,2022-02-07 00:11:09,71.9667,102.5,-15.41,98,99,9.26
130,Lata,PT,2022-02-07 00:11:10,40.1629,-8.3327,47.05,65,34,4.03
131,San Carlos De Bariloche,AR,2022-02-07 00:08:10,-41.1456,-71.3082,73.15,27,0,4.61
132,Punta Arenas,CL,2022-02-07 00:08:54,-53.15,-70.9167,53.71,82,75,9.22
133,Lardos,GR,2022-02-07 00:12:10,36.0942,28.0157,53.94,66,2,2.82
134,Ryotsu,JP,2022-02-07 00:12:11,38.0833,138.4333,31.96,64,100,16.71
135,Gold Coast,AU,2022-02-07 00:09:41,-28.0,153.4333,82.78,75,67,7.0
136,Kapaa,US,2022-02-07 00:11:31,22.0752,-159.319,78.78,73,100,5.99
137,Mount Gambier,AU,2022-02-07 00:12:11,-37.8333,140.7667,82.08,23,0,8.48
138,Taseyevo,RU,2022-02-07 00:12:11,57.2169,94.8978,6.31,96,100,2.13
139,Bluff,NZ,2022-02-07 00:11:47,-46.6,168.3333,60.8,62,1,11.01
140,Guanica,PR,2022-02-07 00:12:12,17.9716,-66.908,74.21,91,74,1.99
141,North Bend,US,2022-02-07 00:12:12,43.4065,-124.2243,64.24,50,0,3.44
142,Temple,US,2022-02-07 00:09:25,31.0982,-97.3428,54.21,40,0,5.75
143,San Cristobal,VE,2022-02-07 00:10:36,7.7669,-72.225,69.98,75,81,1.25
144,Upernavik,GL,2022-02-07 00:12:13,72.7868,-56.1549,-15.84,99,100,9.73
145,Alice Town,BS,2022-02-07 00:12:13,25.7167,-79.3,74.19,75,20,3.94
146,Sao Joao Do Paraiso,BR,2022-02-07 00:12:13,-15.3136,-42.0144,67.01,89,100,2.95
147,Okhotsk,RU,2022-02-07 00:12:14,59.3833,143.3,-3.42,73,97,8.84
148,Bredasdorp,ZA,2022-02-07 00:12:14,-34.5322,20.0403,61.29,91,2,5.73
149,Adrar,MR,2022-02-07 00:12:14,20.5022,-10.0711,66.4,10,0,9.4
150,Avera,US,2022-02-07 00:12:15,33.194,-82.5271,46.71,53,100,6.15
151,Majene,ID,2022-02-07 00:12:15,-3.5403,118.9707,78.08,88,100,1.59
152,Port Hedland,AU,2022-02-07 00:12:15,-20.3167,118.5667,78.85,100,40,3.44
153,Northam,GB,2022-02-07 00:12:16,51.0333,-4.2167,46.62,76,14,17.96
154,Miri,MY,2022-02-07 00:12:16,4.4148,114.0089,76.42,92,89,3.8
155,Arlit,NE,2022-02-07 00:12:16,18.7369,7.3853,63.73,10,0,8.99
156,Qaanaaq,GL,2022-02-07 00:12:17,77.484,-69.3632,-12.98,59,31,8.28
157,Nome,US,2022-02-07 00:09:45,64.5011,-165.4064,-0.33,60,0,11.5
158,Severo-Kurilsk,RU,2022-02-07 00:11:30,50.6789,156.125,31.41,79,100,11.81
159,Xuddur,SO,2022-02-07 00:12:17,4.1213,43.8894,68.58,69,40,12.28
160,San Patricio,US,2022-02-07 00:12:17,28.017,-97.5169,63.01,73,67,9.28
161,Bengkulu,ID,2022-02-07 00:11:23,-3.8004,102.2655,75.04,88,97,7.67
162,Yar-Sale,RU,2022-02-07 00:12:18,66.8333,70.8333,-9.44,100,83,8.93
163,Norman Wells,CA,2022-02-07 00:12:18,65.282,-126.8329,-10.73,95,100,11.03
164,Puerto Colombia,CO,2022-02-07 00:10:14,10.9878,-74.9547,78.89,82,2,24.0
165,Ayan,RU,2022-02-07 00:12:19,56.45,138.1667,-0.49,68,91,8.77
166,Saldus,LV,2022-02-07 00:12:19,56.6636,22.4881,32.18,100,100,5.97
167,Presidencia Roque Saenz Pena,AR,2022-02-07 00:10:47,-26.7852,-60.4388,72.52,42,0,6.17
168,East London,ZA,2022-02-07 00:08:54,-33.0153,27.9116,72.57,84,49,14.74
169,Haines Junction,CA,2022-02-07 00:12:19,60.7522,-137.5108,33.39,89,78,9.51
170,Narsaq,GL,2022-02-07 00:12:20,60.9167,-46.05,8.82,85,100,0.6
171,Vila Velha,BR,2022-02-07 00:10:36,-20.3297,-40.2925,80.55,85,75,5.99
172,Khash,IR,2022-02-07 00:12:20,28.2211,61.2158,47.3,35,45,6.22
173,Juba,SS,2022-02-07 00:12:21,4.8517,31.5825,73.0,26,96,3.36
174,Ixtapa,MX,2022-02-07 00:12:21,20.7,-105.2,74.43,78,75,12.66
175,Sitka,US,2022-02-07 00:12:21,57.0531,-135.33,44.49,76,100,12.66
176,Mongo,TD,2022-02-07 00:12:22,12.1844,18.693,70.39,17,0,6.78
177,Viedma,AR,2022-02-07 00:12:22,-40.8135,-62.9967,64.13,65,2,12.88
178,Kalamare,BW,2022-02-07 00:12:22,-22.9337,26.5703,64.8,70,59,9.01
179,Alta Floresta,BR,2022-02-07 00:12:22,-9.8756,-56.0861,73.36,95,71,0.81
180,Bonthe,SL,2022-02-07 00:13:23,7.5264,-12.505,77.68,89,24,5.68
181,Port Elizabeth,ZA,2022-02-07 00:09:07,-33.918,25.5701,72.1,75,99,0.94
182,Lebu,CL,2022-02-07 00:13:23,-37.6167,-73.65,60.48,88,0,13.73
183,Yulara,AU,2022-02-07 00:12:11,-25.2406,130.9889,80.8,25,0,13.4
184,Matara,LK,2022-02-07 00:12:23,5.9485,80.5353,74.34,88,94,4.54
185,Santa Rosa De Viterbo,BR,2022-02-07 00:13:24,-21.4728,-47.3631,68.47,97,100,1.57
186,Whitecourt,CA,2022-02-07 00:10:13,54.1502,-115.6855,38.57,76,93,6.17
187,Alta,NO,2022-02-07 00:13:24,69.9689,23.2717,22.26,71,73,11.5
188,Bilma,NE,2022-02-07 00:13:24,18.6853,12.9164,60.22,17,0,8.1
189,Norrtalje,SE,2022-02-07 00:13:25,59.758,18.705,32.07,93,28,4.47
190,Funadhoo,MV,2022-02-07 00:13:25,6.15,73.2667,80.01,73,53,6.62
191,Saldanha,ZA,2022-02-07 00:08:52,-33.0117,17.9442,63.25,97,20,10.47
192,Nanchang,CN,2022-02-07 00:13:25,28.6833,115.8833,34.47,98,100,8.46
193,Kantang,TH,2022-02-07 00:13:26,7.4054,99.5156,74.14,90,90,2.33
194,Samfya,ZM,2022-02-07 00:13:26,-11.3649,29.5565,64.81,95,99,4.47
195,Upata,VE,2022-02-07 00:13:26,8.0086,-62.3989,71.19,94,44,4.79
196,Kisangani,CD,2022-02-07 00:13:27,0.5167,25.2,69.24,55,58,0.83
197,Arraial Do Cabo,BR,2022-02-07 00:12:49,-22.9661,-42.0278,76.53,89,14,21.83
198,Portel,BR,2022-02-07 00:13:27,-1.9356,-50.8211,74.39,96,99,4.88
199,Mount Isa,AU,2022-02-07 00:13:28,-20.7333,139.5,83.97,54,43,10.36
200,Boma,GH,2022-02-07 00:13:28,7.0805,-2.1697,76.66,70,81,2.73
201,Jalu,LY,2022-02-07 00:13:28,29.0331,21.5482,57.18,32,20,6.04
202,Chuy,UY,2022-02-07 00:10:19,-33.6971,-53.4616,64.17,59,5,13.96
203,Salalah,OM,2022-02-07 00:13:29,17.0151,54.0924,75.29,27,0,14.97
204,Mangrol,IN,2022-02-07 00:13:29,21.1167,70.1167,63.48,76,6,8.52
205,Nemuro,JP,2022-02-07 00:13:29,43.3236,145.575,28.83,73,55,11.61
206,Vaijapur,IN,2022-02-07 00:13:30,19.9167,74.7333,64.17,33,21,7.85
207,Belaya Gora,RU,2022-02-07 00:13:30,68.5333,146.4167,-44.28,99,73,0.98
208,Barrow,US,2022-02-07 00:13:30,71.2906,-156.7887,-25.58,68,0,12.66
209,Charters Towers,AU,2022-02-07 00:13:31,-20.1,146.2667,79.39,55,85,10.89
210,Sao Joao Da Barra,BR,2022-02-07 00:09:23,-21.6403,-41.0511,77.23,86,0,24.0
211,Erfurt,DE,2022-02-07 00:13:31,50.9833,11.0333,40.5,84,75,16.11
212,Maragogi,BR,2022-02-07 00:13:31,-9.0122,-35.2225,79.32,74,60,10.63
213,Katherine,AU,2022-02-07 00:11:25,-14.4667,132.2667,82.72,78,75,6.91
214,Ankang,CN,2022-02-07 00:13:32,32.68,109.0172,28.94,91,100,2.64
215,Fortuna,US,2022-02-07 00:10:08,40.5982,-124.1573,65.43,94,100,5.75
216,Airai,TL,2022-02-07 00:13:32,-8.9266,125.4092,68.97,74,71,1.21
217,Kannad,IN,2022-02-07 00:13:33,20.2667,75.1333,61.81,35,6,3.67
218,Mankono,CI,2022-02-07 00:13:33,8.0586,-6.1897,77.22,22,2,2.93
219,Chimore,BO,2022-02-07 00:13:33,-16.9833,-65.1333,69.84,98,100,2.46
220,Wattegama,LK,2022-02-07 00:13:33,6.7989,81.4808,70.38,82,93,4.38
221,Kaohsiung,TW,2022-02-07 00:12:40,22.6163,120.3133,63.03,81,75,2.3
222,Touba,CI,2022-02-07 00:13:34,8.2833,-7.6833,75.85,17,1,3.42
223,Krasnoselkup,RU,2022-02-07 00:13:34,65.7,82.4667,-21.53,100,37,7.7
224,Codrington,AU,2022-02-07 00:13:35,-38.2667,141.9667,79.03,32,0,5.57
225,Beringovskiy,RU,2022-02-07 00:11:54,63.05,179.3167,-13.74,95,34,5.48
226,Jinka,ET,2022-02-07 00:13:35,5.65,36.65,68.0,31,35,1.59
227,Pangai,TO,2022-02-07 00:13:35,-19.8,-174.35,77.11,83,100,10.36
228,Ust-Maya,RU,2022-02-07 00:14:36,60.4167,134.5333,-34.87,99,95,1.43
